t,Precipitation
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0.10000000149011612
26,0
27,0
28,0
29,0
30,0
31,0.10000000149011612
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0.10000000149011612
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,2.5999999046325684
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,1.7999999523162842
86,3.5
87,3.5
88,0
89,5.099999904632568
90,2.5999999046325684
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0.10000000149011612
100,0
101,3.5
102,1.399999976158142
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,1.2000000476837158
117,0.4000000059604645
118,0.4000000059604645
119,0
120,0
121,0
122,0
123,0
124,0.10000000149011612
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,13.699999809265137
133,20.5
134,0.30000001192092896
135,1.899999976158142
136,0
137,0
138,1.600000023841858
139,1.399999976158142
140,0
141,0
142,0
143,15.800000190734863
144,13.199999809265137
145,0.5
146,0
147,0
148,0
149,0
150,0.20000000298023224
151,0
152,0
153,0.10000000149011612
154,0
155,0
156,0
157,0
158,0
159,0
160,13
161,3.9000000953674316
162,27.700000762939453
163,1.899999976158142
164,5.199999809265137
165,0.6000000238418579
166,0.5
167,0.4000000059604645
168,0
169,6
170,6.300000190734863
171,0.20000000298023224
172,0.6000000238418579
173,0
174,1.600000023841858
175,7.800000190734863
176,0
177,0
178,0.10000000149011612
179,1.2999999523162842
180,0.10000000149011612
181,0
182,0.4000000059604645
183,0
184,0
185,0
186,0
187,1.2000000476837158
188,0.30000001192092896
189,0
190,0
191,10.399999618530273
192,0
193,0
194,0.10000000149011612
195,0
196,5.900000095367432
197,0
198,0
199,7.599999904632568
200,0.20000000298023224
201,0
202,7.800000190734863
203,0
204,2.299999952316284
205,12.600000381469727
206,0
207,0
208,0.8999999761581421
209,0
210,6.900000095367432
211,3.9000000953674316
212,0.30000001192092896
213,1
214,13
215,11.100000381469727
216,6.300000190734863
217,0
218,0
219,8
220,0
221,7.800000190734863
222,0.4000000059604645
223,0.10000000149011612
224,0
225,0
226,9.600000381469727
227,0
228,13.899999618530273
229,12.199999809265137
230,2.700000047683716
231,0
232,0
233,0
234,0.4000000059604645
235,0
236,0
237,0
238,0
239,0.30000001192092896
240,0
241,0
242,0
243,0
244,0
245,0
246,1.600000023841858
247,1.600000023841858
248,6.699999809265137
249,0.4000000059604645
250,7
251,0.30000001192092896
252,0
253,0
254,0
255,0
256,7.900000095367432
257,8
258,0.30000001192092896
259,0
260,0
261,0
262,3.4000000953674316
263,1.399999976158142
264,0
265,1
266,0
267,0.10000000149011612
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,1.100000023841858
279,0.10000000149011612
280,0
281,0
282,0.10000000149011612
283,0.800000011920929
284,0.6000000238418579
285,0.30000001192092896
286,0
287,0
288,0
289,0
290,0
291,0.20000000298023224
292,0
293,0
294,0
295,1.100000023841858
296,0
297,25.200000762939453
298,2.4000000953674316
299,0.699999988079071
300,0
301,0
302,1.600000023841858
303,5.699999809265137
304,3.200000047683716
305,0
306,0.30000001192092896
307,0
308,0
309,0
310,0
311,0
312,0.6000000238418579
313,0
314,0
315,0.8999999761581421
316,0.4000000059604645
317,0.30000001192092896
318,0
319,0
320,0
321,1
322,3.5999999046325684
323,4.699999809265137
324,0
325,0
326,0
327,0.5
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0.10000000149011612
339,0.30000001192092896
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0.10000000149011612
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
